Region;Origen;Destino;Cantidad de Enlaces;Velocidad [Gbps];Ruta;Distancia_km;GSNR_Total_dB;Umbral_OSNR_dB;Factible;Necesito_Regeneracion;Reg_Factible;Reg_Count;Ruta_Regenerada;Nodos_Regeneradores;Necesito Bajada;Factible con bajada;Velocidad_Ajustada [Gbps];GSNR_Total_dB;Umbral_OSNR_dB
Norte;Las Lomitas;Formosa;4;100;Las Lomitas - Formosa;339;26.68;11.80;SI;NO;;0;;;NO;;;;
Norte;Formosa;Resistencia;4;100;Formosa - Resistencia;221;27.58;11.80;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Añatuya;1;200;Tucuman - Santiago del Estero - Añatuya;390.6;17.71;20.50;NO;SI;SI;0;San Miguel de Tucuman -> Santiago del Estero (24.75 dB) -> Añatuya (21.96 dB);;NO;;;;
Norte;Añatuya;Santa Fe;1;200;Añatuya - Tostado - Rafaela - Santa Fe;591;21.87;20.50;SI;NO;;0;;;NO;;;;
Norte;Tostado;Santa Fe;1;200;Tostado - Rafaela - Santa Fe;423;23.35;20.50;SI;NO;;0;;;NO;;;;
Norte;Santiago del Estero;Añatuya;4;100;Santiago del Estero - Añatuya;197.6;18.37;11.80;SI;NO;;0;;;NO;;;;
Norte;Añatuya;Tostado;4;100;Añatuya - Tostado;168;26.90;11.80;SI;NO;;0;;;NO;;;;
Norte;Cordoba;Arroyito;4;100;Cordoba - Arroyito;146;28.32;11.80;SI;NO;;0;;;NO;;;;
Norte;Arroyito;San Francisco;4;100;Arroyito - San Francisco;100;27.51;11.80;SI;NO;;0;;;NO;;;;
Norte;San Francisco;Rafaela;4;100;San Francisco - Rafaela;87;28.80;11.80;SI;NO;;0;;;NO;;;;
Norte;Rafaela;Santa Fe;4;100;Rafaela - Santa Fe;125;29.29;11.80;SI;NO;;0;;;NO;;;;
Norte;Cordoba;Arroyito;1;200;Cordoba - Arroyito;146;28.32;20.50;SI;NO;;0;;;NO;;;;
Norte;Arroyito;Santa Fe;1;200;Arroyito - San Francisco - Rafaela - Santa Fe;312;24.03;20.50;SI;NO;;0;;;NO;;;;
Norte;Cordoba;San Francisco;1;200;Cordoba - Arroyito - San Francisco;246;25.10;20.50;SI;NO;;0;;;NO;;;;
Norte;San Francisco;Santa Fe;1;200;San Francisco - Rafaela - Santa Fe;212;26.31;20.50;SI;NO;;0;;;NO;;;;
Norte;Cordoba;Rafaela;1;200;Cordoba - Arroyito - San Francisco - Rafaela;333;23.72;20.50;SI;NO;;0;;;NO;;;;
Norte;Rafaela;Santa Fe;1;200;Rafaela - Santa Fe;125;29.29;20.50;SI;NO;;0;;;NO;;;;
Norte;Rafaela;Sunchales;4;100;Rafaela - Sunchales;50;30.65;11.80;SI;NO;;0;;;NO;;;;
Norte;Sunchales;Ceres;4;100;Sunchales - Ceres;163;27.48;11.80;SI;NO;;0;;;NO;;;;
Norte;Ceres;Tostado;4;100;Ceres - Tostado;85;28.96;11.80;SI;NO;;0;;;NO;;;;
Norte;Tostado;Vera;4;100;Tostado - Vera;207;27.32;11.80;SI;NO;;0;;;NO;;;;
Norte;Vera;Resistencia;4;100;Vera - Resistencia;327;24.66;11.80;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;Rafaela;1;200;Santa Fe - Rafaela;125;29.29;20.50;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;Sunchales;1;200;Santa Fe - Rafaela - Sunchales;175;27.26;20.50;SI;NO;;0;;;NO;;;;
Norte;Sunchales;Resistencia;1;200;Sunchales - Ceres - Tostado - Vera - Resistencia;782;21.05;20.50;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;Ceres;1;200;Santa Fe - Rafaela - Sunchales - Ceres;338;24.55;20.50;SI;NO;;0;;;NO;;;;
Norte;Ceres;Resistencia;1;200;Ceres - Tostado - Vera - Resistencia;619;22.06;20.50;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;Tostado;1;200;Santa Fe - Rafaela - Sunchales - Ceres - Tostado;423;23.35;20.50;SI;NO;;0;;;NO;;;;
Norte;Tostado;Resistencia;1;200;Tostado - Vera - Resistencia;534;22.91;20.50;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;Vera;1;200;Santa Fe - Rafaela - Sunchales - Ceres - Tostado - Vera;630;22;20.50;SI;NO;;0;;;NO;;;;
Norte;Vera;Resistencia;1;200;Vera - Resistencia;327;24.66;20.50;SI;NO;;0;;;NO;;;;
Norte;Resistencia;Corrientes;4;100;Resistencia - Corrientes;22;31.09;11.80;SI;NO;;0;;;NO;;;;
Norte;Corrientes;Ituzaingo;4;100;Corrientes - Ituzaingo;249;25.29;11.80;SI;NO;;0;;;NO;;;;
Norte;Ituzaingo;Posadas;4;100;Ituzaingo - Posadas;95;28.05;11.80;SI;NO;;0;;;NO;;;;
Norte;Resistencia;Ituzaingo;1;200;Resistencia - Corrientes - Ituzaingo;271;24.47;20.50;SI;NO;;0;;;NO;;;;
Norte;Ituzaingo;Posadas;1;200;Ituzaingo - Posadas;95;28.05;20.50;SI;NO;;0;;;NO;;;;
Norte;Posadas;San Jose;1;200;Posadas - San Jose;53;30.57;20.50;SI;NO;;0;;;NO;;;;
Norte;Posadas;Paso de los Libres;1;200;Posadas - San Jose - Paso de los Libres;395;23.71;20.50;SI;NO;;0;;;NO;;;;
Norte;San Jose;Santa Fe;1;200;San Jose - Paso de los Libres - Concordia - Parana - Santa Fe;989;20.12;20.50;NO;SI;SI;1;San Jose -> Paso de Los Libres (22.86 dB) -> Concordia (20.72 dB) [REG]-> Parana (23.40 dB) -> Santa Fe (22.61 dB);Concordia;NO;;;;
Norte;Paso de los Libres;Santa Fe;1;200;Paso de los Libres - Concordia - Parana - Santa Fe;647;21.97;20.50;SI;NO;;0;;;NO;;;;
Norte;Concordia;Santa Fe;1;200;Concordia - Parana - Santa Fe;382;24.36;20.50;SI;NO;;0;;;NO;;;;
Norte;Posadas;San Jose;4;100;Posadas - San Jose;53;30.57;11.80;SI;NO;;0;;;NO;;;;
Norte;San Jose;Paso de los Libres;4;100;San Jose - Paso de los Libres;342;24.51;11.80;SI;NO;;0;;;NO;;;;
Norte;Paso de los Libres;Concordia;4;100;Paso de los Libres - Concordia;265;25.45;11.80;SI;NO;;0;;;NO;;;;
Norte;Benavidez;Concepcion del Uruguay;1;200;Benavidez - Campana - Concepcion del Uruguay;355;23.82;20.50;SI;NO;;0;;;NO;;;;
Norte;Benavidez;Concordia;1;200;Benavidez - Campana - Concepcion del Uruguay - Concordia;517;22.40;20.50;SI;NO;;0;;;NO;;;;
Norte;Concepcion del Uruguay;Santa Fe;1;200;Concepcion del Uruguay - Concordia - Parana - Santa Fe;544;22.79;20.50;SI;NO;;0;;;NO;;;;
Norte;Campana;Concepcion del Uruguay;4;100;Campana - Concepcion del Uruguay;275;25.02;11.80;SI;NO;;0;;;NO;;;;
Norte;Concepcion del Uruguay;Concordia;4;100;Concepcion del Uruguay - Concordia;162;27.56;11.80;SI;NO;;0;;;NO;;;;
Norte;Benavidez;Campana;1;200;Benavidez - Campana;80;29.33;20.50;SI;NO;;0;;;NO;;;;
Norte;Benavidez;Baradero;1;200;Benavidez - Campana - Baradero;160;25.86;20.50;SI;NO;;0;;;NO;;;;
Norte;Benavidez;San Nicolas;1;200;Benavidez - Campana - Baradero - San Nicolas;270;23.79;20.50;SI;NO;;0;;;NO;;;;
Norte;Campana;Rosario;1;200;Campana - Baradero - San Nicolas - Rosario;271;23.77;20.50;SI;NO;;0;;;NO;;;;
Norte;Baradero;Rosario;1;200;Baradero - San Nicolas - Rosario;191;25.58;20.50;SI;NO;;0;;;NO;;;;
Norte;San Nicolas;Rosario;1;200;San Nicolas - Rosario;81;29.26;20.50;SI;NO;;0;;;NO;;;;
